system:index,Supf_km2,burned_pixels,fna,nam,year,.geo
1_0000000000000000000e,53240,2051.5254901960784,Provincia de Jujuy,Jujuy,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000f,136990,17077.333333333336,Provincia de Santiago del Estero,Santiago del Estero,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000010,202225,39140.623529411794,Provincia de Río Negro,Río Negro,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000011,89125,6306.1019607843145,Provincia de Corrientes,Corrientes,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000012,29907,100.03137254901961,Provincia de Misiones,Misiones,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000013,155369,8990.788235294118,Provincia de Salta,Salta,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000014,164670,3126.156862745098,Provincia de Córdoba,Córdoba,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000015,306127,6317.733333333336,Provincia de Buenos Aires,Buenos Aires,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000016,143211,140636.62352941182,Provincia de La Pampa,La Pampa,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000017,32820,307.69803921568626,"Provincia de Tierra del Fuego, Antártida e Islas del Atlántico Sur","Tierra del Fuego, Antártida e Islas del Atlántico Sur",2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000000,206,0.0,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000001,94365,1546.0,Provincia del Neuquén,Neuquén,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000002,75564,28163.28627450981,Provincia de San Luis,San Luis,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000003,133296,15048.815686274516,Provincia de Santa Fe,Santa Fe,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000004,91414,1431.2117647058824,Provincia de La Rioja,La Rioja,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000005,101486,6424.835294117647,Provincia de Catamarca,Catamarca,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000006,22599,7353.596078431375,Provincia de Tucumán,Tucumán,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000007,99778,8135.8666666666695,Provincia del Chaco,Chaco,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000008,75476,10386.015686274512,Provincia de Formosa,Formosa,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000009,244386,56.0,Provincia de Santa Cruz,Santa Cruz,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000000a,224378,1611.5215686274507,Provincia del Chubut,Chubut,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000000b,149089,12197.117647058823,Provincia de Mendoza,Mendoza,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000000c,78389,1086.4117647058824,Provincia de Entre Ríos,Entre Ríos,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000000d,88371,1267.2313725490196,Provincia de San Juan,San Juan,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000000e,53240,3191.866666666667,Provincia de Jujuy,Jujuy,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000000f,136990,38302.32549019606,Provincia de Santiago del Estero,Santiago del Estero,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000010,202225,12327.776470588236,Provincia de Río Negro,Río Negro,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000011,89125,19732.66666666666,Provincia de Corrientes,Corrientes,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000012,29907,89.0,Provincia de Misiones,Misiones,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000013,155369,9426.603921568629,Provincia de Salta,Salta,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000014,164670,8829.333333333334,Provincia de Córdoba,Córdoba,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000015,306127,4635.5568627450975,Provincia de Buenos Aires,Buenos Aires,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000016,143211,44813.2117647059,Provincia de La Pampa,La Pampa,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000017,32820,136.2,"Provincia de Tierra del Fuego, Antártida e Islas del Atlántico Sur","Tierra del Fuego, Antártida e Islas del Atlántico Sur",2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000000,206,0.0,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000001,94365,973.2980392156862,Provincia del Neuquén,Neuquén,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000002,75564,30500.270588235308,Provincia de San Luis,San Luis,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000003,133296,25017.38431372549,Provincia de Santa Fe,Santa Fe,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000004,91414,3726.3568627450977,Provincia de La Rioja,La Rioja,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000005,101486,4502.215686274508,Provincia de Catamarca,Catamarca,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000006,22599,7172.054901960783,Provincia de Tucumán,Tucumán,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000007,99778,29762.45882352939,Provincia del Chaco,Chaco,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000008,75476,33193.58039215687,Provincia de Formosa,Formosa,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000009,244386,1258.0,Provincia de Santa Cruz,Santa Cruz,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0000000000000000000a,224378,1375.662745098039,Provincia del Chubut,Chubut,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0000000000000000000b,149089,23574.16470588236,Provincia de Mendoza,Mendoza,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0000000000000000000c,78389,624.0,Provincia de Entre Ríos,Entre Ríos,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0000000000000000000d,88371,746.0,Provincia de San Juan,San Juan,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0000000000000000000e,53240,2924.2039215686273,Provincia de Jujuy,Jujuy,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0000000000000000000f,136990,45747.35294117642,Provincia de Santiago del Estero,Santiago del Estero,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000010,202225,13999.294117647058,Provincia de Río Negro,Río Negro,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000011,89125,17674.992156862747,Provincia de Corrientes,Corrientes,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000012,29907,306.47843137254904,Provincia de Misiones,Misiones,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000013,155369,9766.176470588234,Provincia de Salta,Salta,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000014,164670,9972.286274509806,Provincia de Córdoba,Córdoba,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000015,306127,12549.447058823522,Provincia de Buenos Aires,Buenos Aires,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000016,143211,30704.70196078433,Provincia de La Pampa,La Pampa,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000017,32820,0.0,"Provincia de Tierra del Fuego, Antártida e Islas del Atlántico Sur","Tierra del Fuego, Antártida e Islas del Atlántico Sur",2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000000,206,0.0,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000001,94365,941.0745098039215,Provincia del Neuquén,Neuquén,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000002,75564,2937.078431372549,Provincia de San Luis,San Luis,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000003,133296,39243.40000000001,Provincia de Santa Fe,Santa Fe,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000004,91414,1424.0,Provincia de La Rioja,La Rioja,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000005,101486,2209.619607843137,Provincia de Catamarca,Catamarca,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000006,22599,7614.741176470588,Provincia de Tucumán,Tucumán,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000007,99778,27873.066666666655,Provincia del Chaco,Chaco,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000008,75476,19507.952941176474,Provincia de Formosa,Formosa,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000009,244386,567.1372549019608,Provincia de Santa Cruz,Santa Cruz,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0000000000000000000a,224378,522.0,Provincia del Chubut,Chubut,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0000000000000000000b,149089,2834.392156862745,Provincia de Mendoza,Mendoza,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0000000000000000000c,78389,7771.364705882353,Provincia de Entre Ríos,Entre Ríos,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0000000000000000000d,88371,229.65490196078431,Provincia de San Juan,San Juan,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0000000000000000000e,53240,2351.8,Provincia de Jujuy,Jujuy,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0000000000000000000f,136990,42699.70588235296,Provincia de Santiago del Estero,Santiago del Estero,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000010,202225,857.0,Provincia de Río Negro,Río Negro,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000011,89125,22086.992156862743,Provincia de Corrientes,Corrientes,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000012,29907,127.31372549019608,Provincia de Misiones,Misiones,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000013,155369,9509.827450980394,Provincia de Salta,Salta,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000014,164670,3656.0156862745102,Provincia de Córdoba,Córdoba,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000015,306127,5971.78431372549,Provincia de Buenos Aires,Buenos Aires,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000016,143211,11286.823529411766,Provincia de La Pampa,La Pampa,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000017,32820,38.0,"Provincia de Tierra del Fuego, Antártida e Islas del Atlántico Sur","Tierra del Fuego, Antártida e Islas del Atlántico Sur",2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000000,206,0.0,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000001,94365,1057.6745098039214,Provincia del Neuquén,Neuquén,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000002,75564,8755.792156862743,Provincia de San Luis,San Luis,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000003,133296,26434.850980392173,Provincia de Santa Fe,Santa Fe,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
